index,id,title,overview,vote_count,poster_path
29,315162,Puss in Boots: The Last Wish,fairy tale talking dog spin off aftercreditsstinger talking cat fear of death Animation Family Fantasy Adventure Comedy AntonioBanderas SalmaHayekPinault HarveyGuillén WagnerMoura FlorencePugh JoelCrawford,5759.0,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg
31,635910,The Last Voyage of the Demeter,based on novel or book vampire ship gothic horror dracula Horror Fantasy CoreyHawkins AislingFranciosi LiamCunningham DavidDastmalchian ChrisWalley AndréØvredal,465.0,/nrtbv6Cew7qC7k9GsYSf5uSmuKh.jpg
32,882569,Guy Ritchie's The Covenant,ambush interpreter afghanistan afghanistan war (2001  ) rescue war War Action Thriller JakeGyllenhaal DarSalim AntonyStarr AlexanderLudwig JonnyLeeMiller GuyRitchie,657.0,/kVG8zFFYrpyYLoHChuEeOGAd6Ru.jpg
33,346698,Barbie,feminism patriarchy satire based on toy female protagonist doll ghost fantasy world motherhood existentialism woman director mother daughter relationship gender discrimination barbie secret world Comedy Adventure Fantasy MargotRobbie RyanGosling AmericaFerrera KateMcKinnon ArianaGreenblatt GretaGerwig,5336.0,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg
36,614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,new york city sibling relationship skateboarding crime fighter turtle superhero ninja duringcreditsstinger teenage mutant ninja turtles aspiring journalist anthropomorphic animal Animation Comedy Action MicahAbbey ShamonBrownJr. NicolasCantu BradyNoon AyoEdebiri JeffRowe,435.0,/ueO9MYIOHO7M1PiMUeX74uf8fB9.jpg
40,603692,John Wick: Chapter 4,new york city martial arts hitman sequel organized crime osaka japan aftercreditsstinger hunted professional assassin neo noir berlin Action Thriller Crime KeanuReeves DonnieYen BillSkarsgård IanMcShane LaurenceFishburne ChadStahelski,4159.0,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg
43,502356,The Super Mario Bros. Movie,video game gorilla plumber magic mushroom anthropomorphism based on video game toad aftercreditsstinger duringcreditsstinger damsel in distress piano brother brother relationship evil king Animation Family Adventure Fantasy Comedy ChrisPratt AnyaTaylor Joy CharlieDay JackBlack MichaelJelenic,6262.0,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg
44,713704,Evil Dead Rise,sibling relationship earthquake pregnancy sequel gore los angeles california demon evil necronomicon reboot demonic possession motherhood sisterhood sister sister relationship body horror apartment Thriller Horror LilySullivan AlyssaSutherland MorganDavies GabrielleEchols NellFisher LeeCronin,1937.0,/mIBCtPvKZQlxubxKMeViO2UrP3q.jpg
45,872585,Oppenheimer,based on novel or book husband wife relationship new mexico patriotism atomic bomb world war ii atomic bomb test biography physics politics physicist based on true story jewish american guilt nuclear weapons red scare prometheus 1940s ethics new mexico desert 20th century manhattan project los alamos Drama History CillianMurphy EmilyBlunt MattDamon RobertDowneyJr. FlorencePugh ChristopherNolan,2906.0,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg
51,676547,Prey for the Devil,nun exorcism catholic church demonic possession Horror Thriller JacquelineByers ColinSalmon ChristianNavarro LisaPalfrey NicholasRalph DanielStamm,544.0,/iCvgemXf2Kpr2LvpDmt5J9NhjKM.jpg
52,838484,Choose or Die,video game computer prize tech noir quest 1980s cursed Horror Thriller Science Fiction IolaEvans AsaButterfield RobertEnglund AngelaGriffin RyanGage TobyMeakins,577.0,/jEYE5BPFd5FuPa1judcjpW6xqKp.jpg
61,678512,Sound of Freedom,kidnapping human trafficking based on true story children's rights child kidnapping lost children children in danger save children Action Drama JimCaviezel MiraSorvino BillCamp KurtFuller GerardoTaracena AlejandroGómezMonteverde,370.0,/kSf9svfL2WrKeuK8W08xeR5lTn8.jpg
62,283995,Guardians of the Galaxy Vol. 2,sequel superhero based on comic misfit space aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) Adventure Action Science Fiction ChrisPratt ZoeSaldaña DaveBautista VinDiesel BradleyCooper JamesGunn,19621.0,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg
65,800815,The Pale Blue Eye,detective based on novel or book winter investigation historical figure murder gothic horror occult west point book 1830s Mystery Crime Horror ChristianBale HarryMelling LucyBoynton TobyJones SimonMcBurney ScottCooper,962.0,/9xkGlFRqrN8btTLU0KQvOfn2PHr.jpg
69,700391,65,monster asteroid cave giant monster dinosaur quicksand crash landing alien race sick child prehistoric adventure prehistoric times shipwrecked prehistory man vs nature father daughter relationship alien spaceship Science Fiction Adventure Thriller AdamDriver ArianaGreenblatt ChloeColeman NikaKing BrianDare ScottBeck,1118.0,/rzRb63TldOKdKydCvWJM8B6EkPM.jpg
71,661374,Glass Onion: A Knives Out Mystery,detective greece investigation satire sequel murder mystery billionaire whodunit puzzle box clue identical twin murder mystery arrested development covid 19 Comedy Crime Mystery DanielCraig EdwardNorton JanelleMonáe KathrynHahn LeslieOdomJr. RianJohnson,3584.0,/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg
74,899112,Violent Night,holiday santa claus mercenary saving christmas booby trap duringcreditsstinger christmas Action Comedy Crime Thriller DavidHarbour JohnLeguizamo BeverlyD'Angelo AlexHassell AlexisLouder TommyWirkola,1265.0,/1XSYOP0JjjyMz1irihvWywro82r.jpg
76,176,Saw,detective shotgun sadism flashback hospital doctor torture sadist cult film survival horror chained bludgeoning death match booby trap mind game extreme violence Horror Mystery Crime CaryElwes LeighWhannell DannyGlover MonicaPotter KenLeung JamesWan,8377.0,/4da0TS3iQ1IzuyhDS8elgkmOfrN.jpg
77,884605,No Hard Feelings,romantic comedy bankruptcy craigslist socially awkward uber arrested development late coming of age helicopter parenting Comedy Romance JenniferLawrence AndrewBarthFeldman LauraBenanti MatthewBroderick NatalieMorales GeneStupnitsky,275.0,/gD72DhJ7NbfxvtxGiAzLaa0xaoj.jpg
78,616037,Thor: Love and Thunder,ex girlfriend hero greek mythology sequel superhero based on comic shadow norse mythology aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) heroes norse god colorless child abduction thor Fantasy Action Comedy ChrisHemsworth NataliePortman ChristianBale TessaThompson TaikaWaititi TaikaWaititi,5488.0,/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg
79,385128,F9,speed sequel family relationships duringcreditsstinger fast car brother brother relationship Action Adventure Crime Thriller VinDiesel MichelleRodriguez TyreseGibson Ludacris JohnCena JustinLin,6314.0,/bOFaAXmWWXC3Rbv4u4uM9ZSzRXP.jpg
84,325358,Superfast!,car race parody spoof Comedy Action AlexAshbaugh DalePavinski AndreaNavedo LiliMirojnick GonzaloMenendez JasonFriedberg,351.0,/iuIWl90qCpoxv6g775JB6Kg0m86.jpg
85,551271,Medieval, History Action Drama BenFoster SophieLowe MichaelCaine TilSchweiger MatthewGoode PetrJákl,339.0,/eeUNWsdoiOijOZAMaWFDA5Pb1n8.jpg
87,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",saving the world sibling relationship witch based on novel or book self sacrifice winter cupboard beaver lion fairy tale epic surrealism battle based on children's book fantasy world duringcreditsstinger 1940s high fantasy based on young adult novel faun good versus evil Adventure Family Fantasy GeorgieHenley SkandarKeynes WilliamMoseley AnnaPopplewell TildaSwinton AndrewAdamson,9361.0,/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg
88,545611,Everything Everywhere All at Once,mother philosophy martial arts kung fu generations conflict chinese woman laundromat chinese east asian lead family hot dog asian woman multiverse chinese immigrant mother daughter relationship asian american intergenerational trauma internal revenue service Action Adventure Science Fiction MichelleYeoh StephanieHsu KeHuyQuan JamesHong JamieLeeCurtis DanielScheinert,4164.0,/w3LxiVYdWWRvEVdn5RYq6jIqkb1.jpg
89,555604,Guillermo del Toro's Pinocchio,italy based on novel or book fascism woodcutter musical greed benito mussolini stop motion dark fantasy duringcreditsstinger 1940s wooden dummy pinocchio Animation Fantasy Drama Music GregoryMann EwanMcGregor DavidBradley ChristophWaltz TildaSwinton GuillermodelToro,2129.0,/vx1u0uwxdlhV2MUzj4VlcMB0N6m.jpg
93,663712,Terrifier 2,clown halloween resurrection sequel gore slasher killer killer clown duringcreditsstinger evil clown halloween night graphic violence megaslasher Horror LaurenLaVera DavidHowardThornton ElliottFullam SarahVoigt KaileyHyman DamienLeone,1033.0,/8gLhu8UFPZfH2Hv11JhTZkb9CVl.jpg
98,480530,Creed II,sports sequel rivalry los angeles california boxing dedicated box ring ukraine Drama MichaelB.Jordan SylvesterStallone TessaThompson WoodHarris RussellHornsby StevenCapleJr.,4667.0,/v3QyboWRoA4O9RbcsqH8tJMe8EB.jpg
99,507086,Jurassic World Dominion,giant monster dinosaur child kidnapping jurassic animal sanctuary shot on film Adventure Action Science Fiction ChrisPratt BryceDallasHoward LauraDern JeffGoldblum SamNeill ColinTrevorrow,4493.0,/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg
102,312221,Creed,underdog mexico mentor trainer sports cancer spin off underground fighting motivational speaker boxing legacy Drama MichaelB.Jordan SylvesterStallone TessaThompson PhyliciaRashād AndreWard RyanCoogler,6549.0,/1BfTsk5VWuw8FCocAhCyqnRbEzq.jpg
103,877269,Strange World,monster harmony farmer explorer lgbt teen alternative world Animation Family Adventure Science Fiction JakeGyllenhaal DennisQuaid JaboukieYoung White GabrielleUnion DonHall,831.0,/fHMqfsYyl3lskPK2RiFRwhzwuep.jpg
104,877703,Teen Wolf: The Movie,sequel werewolf supernatural creature based on movie banshee northern california based on tv series 2020s Action Fantasy TV Movie TylerPosey CrystalReed HollandRoden TylerHoechlin ShelleyHennig RussellMulcahy,504.0,/wAkpPm3wcHRqZl8XjUI3Y2chYq2.jpg
105,760741,Beast,wild animal Thriller IdrisElba LeahSavaJeffries IyanaHalley SharltoCopley MartinMunro BaltasarKormákur,1020.0,/xIGr7UHsKf0URWmyyd5qFMAq4d8.jpg
106,505642,Black Panther: Wakanda Forever,loss of loved one hero royal family sequel superhero based on comic royalty underwater political intrigue  death in family mourning death of brother duringcreditsstinger death of king marvel cinematic universe (mcu) hidden civilization yucatan mayans Action Adventure Science Fiction LetitiaWright LupitaNyong'o DanaiGurira WinstonDuke DominiqueThorne RyanCoogler,5090.0,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg
112,718930,Bullet Train,japan assassin based on novel or book mission train luck deadly snake duringcreditsstinger one location shot on film Action Comedy Thriller BradPitt JoeyKing AaronTaylor Johnson BrianTyreeHenry DavidLeitch,3601.0,/tVxDe01Zy3kZqaZRNiXFGDICdZk.jpg
114,76600,Avatar: The Way of Water,loss of loved one dying and death alien life form resurrection sequel dysfunctional family alien planet distant future adopted child rebirth family dynamics adopted son stronger villain war Science Fiction Adventure Action SamWorthington ZoeSaldaña SigourneyWeaver StephenLang KateWinslet JamesCameron,9794.0,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg
115,675353,Sonic the Hedgehog 2,sequel based on video game duringcreditsstinger hedgehog live action and animation Action Adventure Family Comedy JamesMarsden BenSchwartz TikaSumpter NatashaRothwell AdamPally JeffFowler,3716.0,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg
116,361743,Top Gun: Maverick,fighter pilot u.s. navy sequel nuclear weapons military Action Drama TomCruise MilesTeller JenniferConnelly JonHamm GlenPowell JosephKosinski,7187.0,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg
118,19995,Avatar,culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet marine soldier battle love affair nature anti war power relations mind and soul Action Adventure Fantasy Science Fiction SamWorthington ZoeSaldaña StephenLang MichelleRodriguez SigourneyWeaver JamesCameron,28943.0,/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg
119,338958,Disenchanted,magic fairy tale musical wish princess sequel streaming Comedy Family Fantasy AmyAdams PatrickDempsey MayaRudolph GabriellaBaldacchino JamesMarsden AdamShankman,778.0,/uyNLq2Dc3s4IOdcYTU8ZtM2lTjb.jpg
125,568124,Encanto,sadness immigration magic strong woman beauty musical big family forest supernatural family secrets flamenco family relationships teenage girl female protagonist joy of life family conflict helping children matriarch colombia Animation Comedy Family Fantasy StephanieBeatriz MaríaCeciliaBotero JohnLeguizamo MauroCastillo JessicaDarrow ByronHoward,7969.0,/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg
126,945729,A Haunting in Venice,venice italy detective based on novel or book post world war ii séance murder mystery halloween night palazzo retired detective Mystery Drama Crime KennethBranagh KyleAllen CamilleCottin JamieDornan TinaFey KennethBranagh,296.0,/1Xgjl22MkAZQUavvOeBqRehrvqO.jpg
129,324786,Hacksaw Ridge,japan world war ii violent father pacifism bible biography okinawa conscientious objector based on true story gore religion soldier alcoholic war hero medic us military battle of okinawa congressional medal of honor Drama History War AndrewGarfield SamWorthington VinceVaughn TeresaPalmer LukeBracey MelGibson,11951.0,/jhWbYeUNOA5zAb6ufK6pXQFXqTX.jpg
130,703451,Your Place or Mine,romantic comedy big city friends in love house swapping best friends in love with best friend Romance Comedy ReeseWitherspoon AshtonKutcher JesseWilliams ZoëChao SteveZahn AlineBroshMcKenna,396.0,/ApkSeqfIPRCxOtfjXYYE6Ji7jVU.jpg
131,575322,Project Gemini,alien planet alien creature science fiction Science Fiction Horror EgorKoreshkov AlenaKonstantinova KonstantinSamoukov PyotrRomanov NikitaDyuvbanov SerikBeyseu,270.0,/eX6tDFp4RhhjZaa1HUDUzFGPWYk.jpg
132,438148,Minions: The Rise of Gru,1970s duringcreditsstinger minions gentleminions Animation Comedy Family PierreCoffin SteveCarell RussellBrand AlanArkin TarajiP.Henson KyleBalda,2647.0,/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg
